ProbeR	  Phi_acc
2.650	  83.6382599000
2.660	  83.6107941000
2.670	  83.5749054000
2.680	  83.5498123000
2.690	  83.5124283000
2.700	  83.4926224000
2.710	  83.4817352000
2.720	  83.4581223000
2.730	  83.4208755000
2.740	  83.4337997000
2.750	  83.3653336000
2.760	  83.3587494000
2.770	  83.3103256000
2.780	  83.2926178000
2.790	  83.2736816000
2.800	  83.2691879000
2.810	  83.2380371000
2.820	  83.2053223000
2.830	  83.1893616000
2.840	  83.1666565000
2.850	  83.1516113000
2.860	  83.1039124000
2.870	  83.1067276000
2.880	  83.0643463000
2.890	  83.0277481000
2.900	  83.0053329000
2.910	  83.0200119000
2.920	  82.9977188000
2.930	  82.9638824000
2.940	  82.9308243000
2.950	  82.9198456000
2.960	  82.8849869000
2.970	  82.8503571000
2.980	  82.8401871000
2.990	  82.8160553000
3.000	  82.8071976000
3.010	  82.7877731000
3.020	  82.7736206000
3.030	  82.7296829000
3.040	  82.7228928000
3.050	  82.6971970000
3.060	  82.6670914000
3.070	  82.6546555000
3.080	  82.6410446000
3.090	  82.6097107000
3.100	  82.5654297000
3.110	  82.5550690000
3.120	  82.5468140000
3.130	  82.5309296000
3.140	  82.5147705000
3.150	  82.5062256000
3.160	  82.4675064000
3.170	  82.4432602000
3.180	  82.4052200000
3.190	  82.3923950000
3.200	  82.3810349000
3.210	  82.3681946000
3.220	  82.3354797000
3.230	  82.3023758000
3.240	  82.3047943000
3.250	  82.2785110000
3.260	  82.2734451000
3.270	  82.2523499000
3.280	  82.2272339000
3.290	  82.1821365000
3.300	  82.1708527000
3.310	  82.1782532000
3.320	  82.1431351000
3.330	  82.1246185000
3.340	  82.1063461000
3.350	  82.0758514000
3.360	  82.0857849000
3.370	  82.0428009000
3.380	  82.0132675000
3.390	  81.9853897000
3.400	  81.9745255000
3.410	  81.9875717000
3.420	  81.9610519000
3.430	  81.9383392000
3.440	  81.9078903000
3.450	  81.8877029000
3.460	  81.8755798000
3.470	  81.8191528000
3.480	  81.8251724000
3.490	  81.8193436000
3.500	  81.8127136000
3.510	  81.7650681000
3.520	  81.7279129000
3.530	  81.7377090000
3.540	  81.7123260000
3.550	  81.6927948000
3.560	  81.6821213000
3.570	  81.6430969000
3.580	  81.6201172000
3.590	  81.5918579000
3.600	  81.5893784000
3.610	  81.5688858000
3.620	  81.5633011000
3.630	  81.5451355000
3.640	  81.5047379000
3.650	  81.5104141000
3.660	  81.4681854000
3.670	  81.4493408000
3.680	  81.4245224000
3.690	  81.3958359000
3.700	  81.4185104000
3.710	  81.3816452000
3.720	  81.3511734000
3.730	  81.3559341000
3.740	  81.3187866000
3.750	  81.3033524000
3.760	  81.2634354000
3.770	  81.2549438000
3.780	  81.2370987000
3.790	  81.1821136000
3.800	  81.1780624000
3.810	  81.1707382000
3.820	  81.1414948000
3.830	  81.1345596000
3.840	  81.1200256000
3.850	  81.1070709000
3.860	  81.0687943000
3.870	  81.0188675000
3.880	  80.9804230000
3.890	  80.9863892000
3.900	  80.9800415000
3.910	  80.9613876000
3.920	  80.9487610000
3.930	  80.9225235000
3.940	  80.9043503000
3.950	  80.8686981000
3.960	  80.8392563000
3.970	  80.8129044000
3.980	  80.7921143000
3.990	  80.7640228000
4.000	  80.7354202000
4.010	  80.7305069000
4.020	  80.7393265000
4.030	  80.7226791000
4.040	  80.6840515000
4.050	  80.6587830000
4.060	  80.6390381000
4.070	  80.6111984000
4.080	  80.5775375000
4.090	  80.5394897000
4.100	  80.5194702000
4.110	  80.5360870000
4.120	  80.5151367000
4.130	  80.5070724000
4.140	  80.4519882000
4.150	  80.4421616000
4.160	  80.4253311000
4.170	  80.4066849000
4.180	  80.3610535000
4.190	  80.3460083000
4.200	  80.3119049000
4.210	  80.3105164000
4.220	  80.3010406000
4.230	  80.3116684000
4.240	  80.2628098000
4.250	  79.5656586000
