ProbeR	  Phi_acc
2.650	  60.1951180000
2.660	  60.1445503000
2.670	  60.0351410000
2.680	  59.8527451000
2.690	  59.7522316000
2.700	  59.6821251000
2.710	  59.4827003000
2.720	  59.5293274000
2.730	  59.4870262000
2.740	  59.2868271000
2.750	  59.2173500000
2.760	  59.2873154000
2.770	  59.0393600000
2.780	  58.2855339000
2.790	  58.0713196000
2.800	  58.0800552000
2.810	  57.9376755000
2.820	  57.8024673000
2.830	  57.8351097000
2.840	  57.7864876000
2.850	  57.7363892000
2.860	  57.5970230000
2.870	  57.4892807000
2.880	  57.3894196000
2.890	  57.2659988000
2.900	  57.2218170000
2.910	  57.0708809000
2.920	  56.9696655000
2.930	  56.9034996000
2.940	  56.9290276000
2.950	  56.7823753000
2.960	  56.7964096000
2.970	  56.6646271000
2.980	  56.4793892000
2.990	  56.3586349000
3.000	  56.3994102000
3.010	  56.3742332000
3.020	  56.1834984000
3.030	  56.1094513000
3.040	  56.1424255000
3.050	  56.2318573000
3.060	  56.0297890000
3.070	  55.8597031000
3.080	  55.7956581000
3.090	  55.7063942000
3.100	  54.6229057000
3.110	  54.4966621000
3.120	  54.3874817000
3.130	  54.3381462000
3.140	  54.2901649000
3.150	  54.2178574000
3.160	  54.2656670000
3.170	  54.1676712000
3.180	  53.8246040000
3.190	  53.8023872000
3.200	  53.7293205000
3.210	  53.6835022000
3.220	  53.6040726000
3.230	  53.5490494000
3.240	  53.4851799000
3.250	  53.4861984000
3.260	  53.2570915000
3.270	  53.2792969000
3.280	  53.0972557000
3.290	  53.2002525000
3.300	  52.9772453000
3.310	  52.9087067000
3.320	  52.9937325000
3.330	  52.9157867000
3.340	  52.7246704000
3.350	  52.7328911000
3.360	  52.5394440000
3.370	  52.4395409000
3.380	  52.3949928000
3.390	  52.3168793000
3.400	  52.4613686000
3.410	  52.3033562000
3.420	  52.1084671000
3.430	  52.0408630000
3.440	  52.0185242000
3.450	  52.0548935000
3.460	  52.0240364000
3.470	  51.9310837000
3.480	  51.6595192000
3.490	  51.6172180000
3.500	  51.5739861000
3.510	  51.5825920000
3.520	  51.5254974000
3.530	  51.4981575000
3.540	  51.3439484000
3.550	  51.3213081000
3.560	  51.2700272000
3.570	  51.2545509000
3.580	  51.1815567000
3.590	  51.0164490000
3.600	  50.9645538000
3.610	  50.9219093000
3.620	  50.9275093000
3.630	  50.6912346000
3.640	  50.5745964000
3.650	  50.6261368000
3.660	  50.6238060000
3.670	  50.5767822000
3.680	  50.4544449000
3.690	  50.4570732000
3.700	  50.3199806000
3.710	  50.2370758000
3.720	  50.1400528000
3.730	  50.2410164000
3.740	  50.1047058000
3.750	  50.0048866000
3.760	  50.0089188000
3.770	  49.8421288000
3.780	  49.8620911000
3.790	  49.7007294000
3.800	  49.7785912000
3.810	  49.7878304000
3.820	  49.8436546000
3.830	  49.4561653000
3.840	  49.3615189000
3.850	  49.4385338000
3.860	  49.2996368000
3.870	  49.3056526000
3.880	  49.1763229000
3.890	  49.2047501000
3.900	  49.1460457000
3.910	  49.0288506000
3.920	  49.0729561000
3.930	  48.9502525000
3.940	  49.0461693000
3.950	  48.8021011000
3.960	  48.7163124000
3.970	  48.7499657000
3.980	  48.6936646000
3.990	  48.6462784000
4.000	  48.6692085000
4.010	  48.4496078000
4.020	  48.4580002000
4.030	  48.3574181000
4.040	  48.3444061000
4.050	  48.2784538000
4.060	  48.3003273000
4.070	  48.2167015000
4.080	  48.1874962000
4.090	  47.9185600000
4.100	  48.0076103000
4.110	  48.0038834000
4.120	  48.0264740000
4.130	  47.8815155000
4.140	  47.8622284000
4.150	  47.8002052000
4.160	  47.8318405000
4.170	  47.6645851000
4.180	  47.5426445000
4.190	  47.4357872000
4.200	  47.5223389000
4.210	  47.5225105000
4.220	  47.3344040000
4.230	  47.2844162000
4.240	  47.2690315000
4.250	  47.2544899000
4.260	  47.1730690000
4.270	  47.1230545000
4.280	  47.1451797000
4.290	  47.1955338000
4.300	  47.0754128000
4.310	  46.7533112000
4.320	  46.8208466000
4.330	  46.7847328000
4.340	  46.7938042000
4.350	  46.6805496000
4.360	  46.6051865000
4.370	  46.6774139000
4.380	  46.5586319000
4.390	  46.5798721000
4.400	  46.2656784000
4.410	  46.2658920000
4.420	  46.1764145000
4.430	  46.2654266000
4.440	  46.2097740000
4.450	  46.2112160000
4.460	  46.2032051000
4.470	  45.9017868000
4.480	  45.9237862000
4.490	  45.7204628000
4.500	  45.7103996000
4.510	  45.7809296000
4.520	  45.6633110000
4.530	  45.7186241000
4.540	  45.6436424000
4.550	  45.1863327000
4.560	  45.1856537000
4.570	  45.3235893000
4.580	  45.2084732000
4.590	  45.2593765000
4.600	  45.1858788000
4.610	  45.1851616000
4.620	  45.1969719000
4.630	  45.2460518000
4.640	  44.8630142000
4.650	  44.9165192000
4.660	  44.8395042000
4.670	  44.8062325000
4.680	  44.5786247000
4.690	  44.6703033000
4.700	  44.6425667000
4.710	  44.7539558000
4.720	  44.4216957000
4.730	  44.1269493000
4.740	  44.0921936000
4.750	  44.1671295000
4.760	  44.2916145000
4.770	  44.1528893000
4.780	  44.1433525000
4.790	  44.2528763000
4.800	  44.4127541000
4.810	  44.1594582000
4.820	  35.5264587000
4.830	  35.5323524000
4.840	  35.5836372000
4.850	  35.6313629000
4.860	  35.4678383000
4.870	  35.3727264000
4.880	  35.4158325000
4.890	  35.3408546000
4.900	  35.0579720000
4.910	  35.1361732000
4.920	  35.1552048000
4.930	  35.1899605000
4.940	  35.1379128000
4.950	  34.9328079000
4.960	  34.9668427000
4.970	  34.9889679000
4.980	  35.0453415000
4.990	  34.8111610000
5.000	  34.8646507000
5.010	  34.8010750000
5.020	  34.8180695000
5.030	  34.9528542000
5.040	  34.7211342000
5.050	  34.6374092000
5.060	  34.5741005000
5.070	  34.6950264000
5.080	  34.5857964000
5.090	  34.3719215000
5.100	  34.4488068000
5.110	  34.4529037000
5.120	  34.5281410000
5.130	  34.1833878000
5.140	  34.1254044000
5.150	  34.1883888000
5.160	  34.2772713000
5.170	  34.3814583000
5.180	  34.2730751000
5.190	  34.2661667000
5.200	  34.2837448000
5.210	  34.3328285000
5.220	  23.8797646000
5.230	  23.7507439000
5.240	  23.7559414000
5.250	  23.7430000000
5.260	  23.7969151000
5.270	  23.8832111000
5.280	  23.6590767000
5.290	  23.5232735000
5.300	  23.5785446000
5.310	  23.6124535000
5.320	  23.6383934000
5.330	  23.4913998000
5.340	  23.5173397000
5.350	  23.5500622000
5.360	  23.5914307000
5.370	  23.6573811000
5.380	  23.5150795000
5.390	  23.4004116000
5.400	  23.3723812000
5.410	  23.4513874000
5.420	  23.4898739000
5.430	  23.2464962000
5.440	  23.3225365000
5.450	  23.3062611000
5.460	  23.3884888000
5.470	  23.4242611000
5.480	  23.2409019000
5.490	  23.1301899000
5.500	  23.2010593000
5.510	  23.1848679000
5.520	  23.2397995000
5.530	  23.0476246000
5.540	  23.0895004000
5.550	  23.1522312000
5.560	  23.2217426000
5.570	  23.2754879000
5.580	  23.0716991000
5.590	  22.9623432000
5.600	  23.0527096000
