Grid		 	    Points/A	  Phi_acc	 Phi_void
0002 x 0002 x 0001	    0.1085	   0.0000000000	 100.0000000000
0004 x 0004 x 0002	    0.2170	  12.5000000000	  75.0000000000
0006 x 0006 x 0003	    0.3255	  20.3703709000	  69.4444427000
0008 x 0008 x 0004	    0.4341	  19.1406250000	  75.0000000000
0010 x 0010 x 0005	    0.5426	  40.0000000000	  70.4000015000
0012 x 0012 x 0006	    0.6511	  37.9629631000	  71.9907379000
0014 x 0014 x 0007	    0.7596	  44.8979568000	  69.6064148000
0016 x 0016 x 0008	    0.8681	  45.5566406000	  70.6054688000
0018 x 0018 x 0009	    0.9766	  45.6104240000	  70.5761337000
0020 x 0020 x 0010	    1.0851	  49.7500000000	  70.9000015000
0022 x 0022 x 0011	    1.1936	  49.3989487000	  70.5484543000
0024 x 0024 x 0012	    1.3022	  47.0630798000	  70.5873871000
0026 x 0026 x 0013	    1.4107	  50.7851601000	  70.5166168000
0028 x 0028 x 0014	    1.5192	  49.9635582000	  70.4537125000
0030 x 0030 x 0015	    1.6277	  50.2148132000	  70.5555573000
0032 x 0032 x 0016	    1.7362	  51.7089844000	  70.3491211000
0034 x 0034 x 0017	    1.8447	  50.1679230000	  70.4406662000
0036 x 0036 x 0018	    1.9532	  51.0673866000	  70.6189957000
0038 x 0038 x 0019	    2.0617	  51.4907417000	  70.4840393000
0040 x 0040 x 0020	    2.1703	  51.5218735000	  70.4781265000
0042 x 0042 x 0021	    2.2788	  51.9868240000	  70.4864502000
0044 x 0044 x 0022	    2.3873	  52.4276848000	  70.4991531000
0046 x 0046 x 0023	    2.4958	  52.4348679000	  70.5268326000
0048 x 0048 x 0024	    2.6043	  51.8825951000	  70.5060043000
0050 x 0050 x 0025	    2.7128	  52.8255997000	  70.5407944000
0052 x 0052 x 0026	    2.8213	  53.2003860000	  70.5407944000
0053 x 0053 x 0027	    2.8756	  53.2758484000	  70.5219955000
0055 x 0055 x 0028	    2.9841	  53.5430908000	  70.4687119000
0057 x 0057 x 0029	    3.0926	  53.1728630000	  70.4789810000
0059 x 0059 x 0030	    3.2011	  53.8025513000	  70.4912338000
0061 x 0061 x 0031	    3.3096	  53.7420578000	  70.5030746000
0063 x 0063 x 0032	    3.4182	  54.0320282000	  70.5042191000
0065 x 0065 x 0033	    3.5267	  53.5198135000	  70.5361328000
0067 x 0067 x 0034	    3.6352	  54.3688469000	  70.4611282000
0069 x 0069 x 0035	    3.7437	  53.8206291000	  70.4623871000
0071 x 0071 x 0036	    3.8522	  53.9773865000	  70.5046387000
0073 x 0073 x 0037	    3.9607	  53.8151817000	  70.5076294000
0075 x 0075 x 0038	    4.0692	  54.0458488000	  70.5052643000
0077 x 0077 x 0039	    4.1777	  53.8746948000	  70.4935760000
0079 x 0079 x 0040	    4.2863	  53.9765244000	  70.4846954000
0081 x 0081 x 0041	    4.3948	  54.2596512000	  70.4889603000
0083 x 0083 x 0042	    4.5033	  54.1238976000	  70.5033569000
0085 x 0085 x 0043	    4.6118	  54.1440430000	  70.4913483000
