ProbeR	  Phi_acc
2.650	  51.6217308000
2.660	  51.5982323000
2.670	  51.5551872000
2.680	  51.5163879000
2.690	  51.4854126000
2.700	  51.4722748000
2.710	  51.4960938000
2.720	  51.4562531000
2.730	  51.4262199000
2.740	  51.4211311000
2.750	  51.3773308000
2.760	  51.3205948000
2.770	  51.3247070000
2.780	  51.3225098000
2.790	  51.2691307000
2.800	  51.2636299000
2.810	  51.2761993000
2.820	  51.2418289000
2.830	  51.1876945000
2.840	  51.1762924000
2.850	  51.1375847000
2.860	  51.1353264000
2.870	  51.1199608000
2.880	  51.1176033000
2.890	  51.0775795000
2.900	  51.0250816000
2.910	  51.0266838000
2.920	  51.0230675000
2.930	  51.0085526000
2.940	  51.0006676000
2.950	  50.9416351000
2.960	  50.8872223000
2.970	  50.8894196000
2.980	  50.8693390000
2.990	  50.8831024000
3.000	  50.8652267000
3.010	  50.8241310000
3.020	  50.7870903000
3.030	  50.7638397000
3.040	  50.7484512000
3.050	  50.7379837000
3.060	  50.7234993000
3.070	  50.7004738000
3.080	  50.6682701000
3.090	  50.6395531000
3.100	  50.6194458000
3.110	  50.6114960000
3.120	  50.5795784000
3.130	  50.5785408000
3.140	  50.5466232000
3.150	  50.5191917000
3.160	  50.5128136000
3.170	  50.4925194000
3.180	  50.4736061000
3.190	  50.4168625000
3.200	  50.4246902000
3.210	  50.4166794000
3.220	  50.4234009000
3.230	  50.3944626000
3.240	  50.3469582000
3.250	  50.3298683000
3.260	  50.2850037000
3.270	  50.3052368000
3.280	  50.2858505000
3.290	  50.2715302000
3.300	  50.2361832000
3.310	  50.2103577000
3.320	  50.1888695000
3.330	  50.1398277000
3.340	  50.1631660000
3.350	  50.1352654000
3.360	  50.0894318000
3.370	  50.0799713000
3.380	  50.0641708000
3.390	  50.0430870000
3.400	  49.9800034000
3.410	  49.9780540000
3.420	  49.9584808000
3.430	  49.9134254000
3.440	  49.9172287000
3.450	  49.9158173000
3.460	  49.8636017000
3.470	  49.8182030000
3.480	  49.8018951000
3.490	  49.7927208000
3.500	  49.7143974000
3.510	  49.7177887000
3.520	  49.7169724000
3.530	  49.6637840000
3.540	  49.6525383000
3.550	  49.6558380000
3.560	  49.5812187000
3.570	  49.5602646000
3.580	  49.5435486000
3.590	  49.5046234000
3.600	  49.4567108000
3.610	  49.4368210000
3.620	  49.4132614000
3.630	  49.3338051000
3.640	  49.3273926000
3.650	  49.2893486000
3.660	  49.2772217000
3.670	  49.2405281000
3.680	  49.1941223000
3.690	  49.1354027000
3.700	  49.0894089000
3.710	  49.1059341000
3.720	  49.0496292000
3.730	  48.9613457000
3.740	  48.9180222000
3.750	  48.8897476000
3.760	  48.8520126000
3.770	  48.8473320000
3.780	  48.8027496000
3.790	  48.7535553000
3.800	  48.6806297000
3.810	  48.6146851000
3.820	  48.5935097000
3.830	  48.5590134000
3.840	  48.5236092000
3.850	  48.4926605000
3.860	  48.3981895000
3.870	  48.3552055000
3.880	  48.3446846000
3.890	  48.2684021000
3.900	  48.2329597000
3.910	  48.2267418000
3.920	  48.1719780000
3.930	  48.1094894000
3.940	  48.0424767000
3.950	  47.9992447000
3.960	  47.9375420000
3.970	  47.8954124000
3.980	  47.8691750000
3.990	  47.8098946000
4.000	  47.7256927000
4.010	  47.6817398000
4.020	  47.6518288000
4.030	  47.5977287000
4.040	  47.5158882000
4.050	  47.5065842000
4.060	  47.4027519000
4.070	  47.3623466000
4.080	  47.3173599000
4.090	  47.2308960000
4.100	  47.1834869000
4.110	  47.1240120000
4.120	  47.1251755000
4.130	  47.0246696000
4.140	  46.9826012000
4.150	  46.9228439000
4.160	  46.8713837000
4.170	  46.8463135000
4.180	  46.7240372000
4.190	  46.6579933000
4.200	  46.6676407000
4.210	  46.6149216000
4.220	  46.5752411000
4.230	  46.4826241000
4.240	  46.4577713000
4.250	  46.3501663000
4.260	  46.3336411000
4.270	  46.2933922000
4.280	  46.2653999000
4.290	  46.2152290000
4.300	  46.1397285000
4.310	  46.0625038000
4.320	  45.9897423000
4.330	  45.9798126000
4.340	  45.9634781000
4.350	  45.9416733000
4.360	  45.7915916000
4.370	  45.7240448000
4.380	  45.7109718000
4.390	  45.6779213000
4.400	  45.6060371000
4.410	  45.5702858000
4.420	  45.4030495000
4.430	  45.3723831000
4.440	  45.3276787000
4.450	  45.2911720000
4.460	  45.2063103000
4.470	  45.1253471000
4.480	  45.0257874000
4.490	  45.0134087000
4.500	  44.9805145000
4.510	  44.9618835000
4.520	  44.8051376000
4.530	  44.7368393000
4.540	  44.6516342000
4.550	  44.6264687000
4.560	  44.5794983000
4.570	  44.5881081000
4.580	  44.4020500000
4.590	  44.3090248000
4.600	  44.2811584000
4.610	  44.2121964000
4.620	  44.1208344000
4.630	  44.1139526000
4.640	  43.9818077000
4.650	  43.7731934000
4.660	  43.6910706000
4.670	  43.5392570000
4.680	  43.4561920000
4.690	  42.4500732000
4.700	  41.0050812000
4.710	  40.6938286000
4.720	  40.3168144000
4.730	  39.7829971000
4.740	  39.3891449000
4.750	  38.8880653000
4.760	  38.5671959000
